MaChuyenXe,LoaiXe,KhoangCach,BienSoXe,NoiDi,NoiDen,NgayKhoiHanh,GioKhoiHanh,TenTaiXe,PhiDichVu
CX01,1,120.0,29B-00101,Ha Noi,Hai Phong,24/07/2026,06:00,Nguyen Van An,0.0
CX02,1,180.0,29B-00102,Ha Noi,Quang Ninh,24/07/2026,07:30,Tran Dinh Trong,0.0
CX03,2,780.0,29B-00106,Ha Noi,Da Nang,24/07/2026,20:00,Le Van Thanh,50000.0
CX04,1,93.0,29B-00103,Ha Noi,Ninh Binh,24/07/2026,08:00,Pham Hoang Nam,0.0
CX05,2,310.0,51B-00202,Ho Chi Minh,Da Lat,24/07/2026,22:00,Vu Quang Minh,50000.0
CX06,1,125.0,51B-00204,Ho Chi Minh,Vung Tau,25/07/2026,06:30,Doan Van Duc,0.0
CX07,1,100.0,29B-00104,Da Nang,Hue,25/07/2026,09:00,Hoang Van Huy,0.0
CX08,2,320.0,29B-00102,Ha Noi,Sapa,25/07/2026,21:00,Ngo Bao Lam,50000.0
CX09,1,170.0,51B-00201,Ho Chi Minh,Can Tho,26/07/2026,05:30,Bui Duc Thang,0.0
CX10,2,1730.0,29B-00101,Ha Noi,Ho Chi Minh,26/07/2026,19:00,Trinh Quoc Viet,100000.0
CX11,1,120.0,29B-00101,Ha Noi,Hai Phong,24/07/2026,14:00,Nguyen Van An,0.0
CX12,1,180.0,29B-00102,Ha Noi,Quang Ninh,24/07/2026,15:30,Tran Dinh Trong,0.0
CX13,1,93.0,29B-00103,Ha Noi,Ninh Binh,24/07/2026,16:00,Pham Hoang Nam,0.0
CX14,2,320.0,29B-00105,Ha Noi,Sapa,24/07/2026,21:30,Vuong Quoc Tuan,50000.0
CX15,1,160.0,29B-00104,Ha Noi,Thanh Hoa,25/07/2026,07:00,Phan Van Khai,0.0
CX16,2,780.0,29B-00106,Ha Noi,Da Nang,25/07/2026,19:30,Le Van Thanh,50000.0
CX17,1,125.0,51B-00203,Ho Chi Minh,Vung Tau,25/07/2026,13:30,Nguyen Huu Canh,0.0
CX18,2,310.0,51B-00202,Ho Chi Minh,Da Lat,25/07/2026,22:30,Vu Quang Minh,50000.0
CX19,1,170.0,51B-00204,Ho Chi Minh,Can Tho,25/07/2026,16:00,Doan Van Duc,0.0
CX20,2,430.0,51B-00201,Ho Chi Minh,Nha Trang,25/07/2026,20:00,Bui Duc Thang,50000.0
CX21,1,100.0,29B-00103,Da Nang,Hue,26/07/2026,08:30,Pham Hoang Nam,0.0
CX22,2,500.0,51B-00206,Da Nang,Nha Trang,26/07/2026,18:30,Ly Minh Kiet,50000.0
CX23,1,120.0,29B-00101,Ha Noi,Hai Phong,26/07/2026,07:00,Nguyen Van An,0.0
CX24,1,180.0,29B-00104,Ha Noi,Quang Ninh,26/07/2026,09:30,Phan Van Khai,0.0
CX25,2,320.0,29B-00105,Ha Noi,Sapa,26/07/2026,21:00,Vuong Quoc Tuan,50000.0
CX26,1,160.0,29B-00102,Ha Noi,Thanh Hoa,26/07/2026,13:00,Tran Dinh Trong,0.0
CX27,2,1730.0,29B-00106,Ha Noi,Ho Chi Minh,26/07/2026,20:30,Le Van Thanh,100000.0
CX28,1,125.0,51B-00205,Ho Chi Minh,Vung Tau,27/07/2026,07:00,Cao Hoang Hai,0.0
CX29,2,310.0,51B-00202,Ho Chi Minh,Da Lat,27/07/2026,21:00,Vu Quang Minh,50000.0
CX30,1,170.0,51B-00201,Ho Chi Minh,Can Tho,27/07/2026,09:00,Bui Duc Thang,0.0
CX31,2,430.0,51B-00206,Ho Chi Minh,Nha Trang,27/07/2026,22:00,Ly Minh Kiet,50000.0
CX32,1,100.0,29B-00103,Da Nang,Hue,27/07/2026,10:30,Pham Hoang Nam,0.0
CX33,2,500.0,51B-00204,Da Nang,Nha Trang,27/07/2026,19:00,Doan Van Duc,50000.0
CX34,1,120.0,29B-00101,Ha Noi,Hai Phong,27/07/2026,15:00,Nguyen Van An,0.0
CX35,2,780.0,29B-00106,Ha Noi,Da Nang,27/07/2026,20:00,Le Van Thanh,50000.0
