CCCD,HoTen,SDT
001204000101,Tran Van An,0901112233
001204000102,Le Thi Binh,0902223344
001204000103,Pham Hoang Cuong,0903334455
001204000104,Hoang Thi Dung,0904445566
001204000105,Vu Van Em,0905556677
001204000106,Dang Thi Phuong,0906667788
001204000107,Bui Van Giang,0907778899
001204000108,Do Thi Hang,0908889900
001204000109,Ngo Van Hung,0909990011
001204000110,Dinh Thi Yen,0910001122
001204000111,Ly Van Khoa,0911112233
001204000112,Mai Thi Lan,0912223344
001204000113,Duong Van Minh,0913334455
001204000114,Truong Thi Nga,0914445566
001204000115,Tieu Van Son,0915556677
001204000116,Phung Thi Trang,0916667788
001204000117,Quach Van Uoc,0917778899
001204000118,Luu Thi Viet,0918889900
001204000119,Cao Van Xuan,0919990011
001204000120,Lam Thi Yen,0920001122
001204000121,Ta Van Sinh,0921112233
001204012345,Nguyen Van Hung,0901234567
001303056789,Nguyen Thi Bich Ngoc,0965432108
002305067890,Tran Thi Mai Lan,0912345678
024199087654,Hoang Duc Anh,0943216789
025303045678,Vuong Thi Thuy Linh,0867890123
031200012345,Trinh Thi Cam Tu,0876543219
036204023456,Do Minh Khoi,0897654321
038201054321,Le Hoang Nam,0987654321
042199078901,Phan Thi Hong Nhung,0923456789
048202034567,Bui Thi Kim Ngan,0918765432
056301045678,Dang Quoc Viet,0932109876
068201034567,Ngo Thanh Tung,0945678901
075302089012,Ly Van Tai,0954321098
079300198765,Pham Thi Thanh Huong,0376543210
