MaVe,MaChuyenXe,CCCD,GiaTien,NoiDi,NoiDen
VE01,CX01,001204012345,150000.000000,Ha Noi,Hai Phong
VE02,CX01,002305067890,150000.000000,Ha Noi,Hai Phong
VE03,CX02,038201054321,200000.000000,Ha Noi,Quang Ninh
VE04,CX02,030101203057,200000.000000,Ha Noi,Quang Ninh
VE05,CX02,079300198765,200000.000000,Ha Noi,Quang Ninh
VE06,CX03,024199087654,850000.000000,Ha Noi,Da Nang
VE07,CX03,048202034567,850000.000000,Ha Noi,Da Nang
VE08,CX04,056301045678,120000.000000,Ha Noi,Ninh Binh
VE09,CX05,001303056789,450000.000000,Ho Chi Minh,Da Lat
VE10,CX05,036204023456,450000.000000,Ho Chi Minh,Da Lat
VE11,CX06,042199078901,160000.000000,Ho Chi Minh,Vung Tau
VE12,CX07,075302089012,130000.000000,Da Nang,Hue
VE13,CX08,031200012345,650000.000000,Ha Noi,Sapa
VE14,CX08,068201034567,650000.000000,Ha Noi,Sapa
VE15,CX10,025303045678,1200000.000000,Ha Noi,Ho Chi Minh
VE16,CX09,002305067890,300000.000000,Da Nang,Nha Trang
VE17,CX09,031200012345,300000.000000,Da Nang,Nha Trang
